Campo;Fuente1;Fuente2;Fuente3;Fuente4;Fuente5;Fuente6
campovx_11_fuente;F1832;;;;;
campovx_03_vector;646;;;;;
campovx_11_fuente;F1832;;;;;
campovx_03_vector;647;;;;;
campovx_11_fuente;F1832;;;;;
campovx_03_vector;653;;;;;
campovx_11_fuente;F1834;;;;;
campovx_03_vector;655;;;;;
campovx_11_fuente;F1834;;;;;
campovx_03_vector;659;;;;;
campovx_11_fuente;F1812;;;;;
campovx_03_vector;663;;;;;
campovx_11_fuente;Nómina Donaciones Para Fines Deportivos (DEPORTIVOS.DAT);;;;;
campovx_03_vector;664;;;;;
campovx_11_fuente;Nómina Donaciones Para Fines Deportivos (DEPORTIVOS.DAT);;;;;
campovx_03_vector;665;;;;;
campovx_11_fuente;Nómina de Cónyuge e Hijos, CVC;;;;;
campovx_03_vector;666;;;;;
campovx_11_fuente;Vx010563, Vx010665;;;;;
campovx_03_vector;667;;;;;
campovx_11_fuente;Nómina de Cónyuge e Hijos, CVC;;;;;
campovx_03_vector;668;;;;;
campovx_11_fuente;Vx010546, Vx010665;;;;;
campovx_03_vector;672;;;;;
campovx_11_fuente;Avaluaciones;F1835;;;;
campovx_03_vector;673;;;;;
campovx_11_fuente;Avaluaciones;F1835;;;;
campovx_03_vector;674;;;;;
campovx_11_fuente;F22;;;;;
